miRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
pme-miR-147-3p,2381.2330,5.0855,0.243663,20.8710,9.83E-97,3.12E-94
pme-miR-184b-3p,6130.4621,-1.4919,0.133889,-11.1429,7.76E-29,1.23E-26
pme-miR-9-7-3p,93.9034,-5.6375,0.516919,-10.9059,1.08E-27,1.14E-25
pme-miR-210-3p,4299.1321,1.3536,0.125628,10.7747,4.53E-27,3.60E-25
pme-miR-187-3p,250.5657,-1.6307,0.165647,-9.8441,7.27E-23,4.62E-21
pme-miR-212b-5p,176.5242,-3.1022,0.316468,-9.8026,1.10E-22,5.81E-21
pme-miR-9-4-3p,254.4924,-3.2304,0.362641,-8.9080,5.20E-19,2.36E-17
pme-miR-153a-3p,135.0347,-2.5068,0.287063,-8.7326,2.49E-18,9.89E-17
pme-miR-210-5p,1925.7745,1.2547,0.150120,8.3578,6.39E-17,2.26E-15
pme-miR-724-5p,182.5553,-2.5274,0.313298,-8.0670,7.20E-16,2.29E-14
pme-miR-132b-5p,87.5105,-3.2288,0.406764,-7.9378,2.06E-15,5.95E-14
pme-miR-8160a-5p,272.3565,-1.3403,0.172470,-7.7713,7.77E-15,2.06E-13
pme-miR-92b-3p,345.7613,-1.4206,0.183371,-7.7469,9.42E-15,2.30E-13
pme-miR-30c-2-3p,1927.3674,-1.1024,0.147023,-7.4983,6.46E-14,1.47E-12
pme-miR-150-3p,2073.3191,0.9927,0.138464,7.1696,7.52E-13,1.59E-11
pme-miR-212-3p,52.7317,-2.3791,0.342126,-6.9539,3.55E-12,7.06E-11
pme-miR-132-3p,54.0920,-2.8994,0.454624,-6.3775,1.80E-10,3.37E-09
pme-miR-212a-5p,25.2181,-3.5234,0.554313,-6.3564,2.07E-10,3.65E-09
pme-miR-722-3p,1909.6830,0.9722,0.159013,6.1143,9.70E-10,1.62E-08
pme-miR-30c-2-5p,223698.1684,-0.7609,0.124605,-6.1066,1.02E-09,1.62E-08
pme-miR-124-3p,21.5715,-3.1347,0.535566,-5.8531,4.82E-09,7.30E-08
pme-miR-10a-5p,133.5415,-1.2943,0.224954,-5.7538,8.73E-09,1.26E-07
pme-miR-9-5p,308.0237,-2.1230,0.388033,-5.4712,4.47E-08,6.18E-07
pme-miR-1788-5p,59.9430,1.1730,0.217207,5.4006,6.64E-08,8.80E-07
pme-miR-184a-3p,197.1876,-1.2299,0.229278,-5.3643,8.13E-08,1.03E-06
pme-miR-150-5p,157376.2742,0.7877,0.147183,5.3519,8.70E-08,1.06E-06
pme-miR-30e-3p,22792.8706,-0.7500,0.147833,-5.0735,3.91E-07,4.60E-06
pme-miR-22a-2-3p,12042.3263,0.6571,0.132078,4.9753,6.52E-07,7.40E-06
pme-miR-126b-3p,26907.1771,0.4126,0.084704,4.8708,1.11E-06,1.22E-05
pme-miR-193a-2-3p,45.6188,1.2549,0.258032,4.8634,1.15E-06,1.22E-05
pme-miR-135b-5p,364.5736,1.2563,0.258863,4.8533,1.21E-06,1.25E-05
pme-miR-429a-3p,34471.8614,-0.5597,0.116189,-4.8167,1.46E-06,1.45E-05
pme-miR-206-1-3p,261.0690,-1.0346,0.217393,-4.7590,1.95E-06,1.87E-05
pme-miR-722-5p,52.3897,1.1524,0.242950,4.7435,2.10E-06,1.96E-05
pme-miR-725-5p,1949.4222,-0.5856,0.123775,-4.7313,2.23E-06,2.03E-05
pme-miR-137-1-3p,28.1823,-1.4419,0.306759,-4.7006,2.59E-06,2.29E-05
pme-miR-21a-3p,400.7492,1.7667,0.384931,4.5897,4.44E-06,3.82E-05
pme-miR-216b-1-5p,47.8659,-1.9949,0.440412,-4.5297,5.91E-06,4.94E-05
pme-miR-99a-5p,2480.3000,-0.5090,0.113471,-4.4854,7.28E-06,5.93E-05
pme-miR-144-5p,7114.5266,0.7896,0.177874,4.4393,9.03E-06,7.18E-05
pme-miR-7-5p,61.7021,-1.0185,0.233016,-4.3709,1.24E-05,9.60E-05
pme-miR-10b-2-5p,3092.2671,-0.6450,0.149210,-4.3226,1.54E-05,0.000116734
pme-miR-129-1b/2-3p,23.4299,-1.4088,0.331390,-4.2513,2.13E-05,0.000157182
pme-miR-29a-1/3a/b-1b-3p,2350.8974,0.8009,0.189523,4.2261,2.38E-05,0.000171883
pme-miR-22a-1-3p,50245.1341,0.4382,0.105561,4.1508,3.31E-05,0.000234163
pme-miR-145-3p,749.2392,0.5124,0.124069,4.1301,3.63E-05,0.000250682
pme-miR-33-5p,50.6348,1.7234,0.419629,4.1070,4.01E-05,0.000271167
pme-miR-737-5p,573.0146,1.1709,0.287576,4.0717,4.67E-05,0.000309204
pme-miR-143-5p,851.8757,0.6268,0.156637,4.0019,6.28E-05,0.000407797
pme-miR-140-5p,2117.9560,0.5359,0.134756,3.9766,6.99E-05,0.00044455
pme-miR-29b-1a-3p,50.2914,1.0981,0.279596,3.9275,8.58E-05,0.000532977
pme-miR-200a-5p,2745.1919,-0.3993,0.101765,-3.9238,8.72E-05,0.000532977
pme-miR-10c-5p,17249.8594,-1.3215,0.341114,-3.8742,0.00010697,0.00063743
pme-let-7a-3/7-3p,250.2533,0.5472,0.141355,3.8713,0.000108243,0.00063743
pme-miR-181a-3-3p,6084.3572,0.5510,0.146782,3.7537,0.000174221,0.001007312
pme-miR-153c-3p,65.1390,-0.9332,0.248993,-3.7481,0.000178187,0.001011848
pme-miR-30c-1-3p,167.0515,-0.7200,0.193964,-3.7119,0.000205725,0.001147729
pme-miR-190b-5p,40.6102,0.9173,0.247870,3.7008,0.000214917,0.001166649
pme-miR-338-2-5p,11.2697,1.6019,0.433053,3.6990,0.000216454,0.001166649
pme-miR-338-3p,9419.9939,0.5350,0.146604,3.6491,0.000263189,0.0013949
pme-miR-182a-5p,2932.8525,-0.6796,0.186513,-3.6436,0.000268866,0.001401627
pme-miR-101a-5p,79.3500,0.8258,0.230347,3.5849,0.000337211,0.001729565
pme-miR-26a-1b-5p,38720.2584,0.3916,0.109541,3.5749,0.000350426,0.001768819
pme-miR-143-3p,232331.3090,0.5176,0.145597,3.5552,0.000377753,0.001876959
pme-miR-26a-1a-5p,133.3066,-1.3105,0.370634,-3.5359,0.000406342,0.001987948
pme-miR-489-3p,62.1946,-1.2200,0.350313,-3.4825,0.00049683,0.002393817
pme-miR-93-5p,2095.4495,0.3576,0.103623,3.4512,0.000558105,0.002648914
pme-miR-101b-3p,1188.8382,1.0697,0.311429,3.4347,0.000593109,0.002773657
pme-miR-301-5p,82.1463,0.7495,0.220909,3.3927,0.000692173,0.003190014
pme-miR-29b-2a-3p,125.7888,0.7910,0.233835,3.3826,0.00071808,0.003262137
pme-miR-375a-3p,15649.2726,-0.6191,0.183946,-3.3655,0.000764049,0.003386962
pme-miR-30e-5p,205941.9615,-0.5472,0.162632,-3.3645,0.000766859,0.003386962
pme-miR-101a-3p,13405.5077,0.8200,0.244196,3.3581,0.00078492,0.00341924
pme-miR-29b-2b-3p,32.7273,1.2011,0.358857,3.3469,0.000817192,0.003511718
pme-miR-144-3p,3361.3132,0.9330,0.279857,3.3338,0.000856715,0.00363247
pme-miR-22a-5p,86.4517,0.6728,0.203582,3.3049,0.000950083,0.003975346
pme-miR-190a-5p,119.1941,0.7805,0.238636,3.2705,0.001073644,0.004434009
pme-let-7g-2-3p,69.4689,0.7309,0.226080,3.2328,0.001225825,0.004997592
pme-miR-27b-5p,3186.7886,0.3982,0.123403,3.2265,0.001253188,0.005044477
pme-miR-133a-3p,10009.4270,-0.4396,0.137122,-3.2057,0.001347222,0.005355208
pme-miR-19a-3p,2372.5340,0.5372,0.169436,3.1706,0.001521244,0.005972289
pme-miR-29a-3b-3p,90.9854,1.1303,0.359841,3.1411,0.001682992,0.006449076
pme-miR-155-5p,2766.0891,-0.6953,0.221342,-3.1411,0.001683249,0.006449076
pme-miR-196a-5p,15.3611,-1.3120,0.424364,-3.0917,0.001989997,0.007533561
