geneID,Gene.Name,Gene.stable.ID,Subject.sequence.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Protein.annotations
gene12935,LOC106924773,ENSPMEG00000015312,NA,6827.527069,5.98577093,0.214929595,27.84991484,1.08E-170,2.29E-166,NA
gene23705,LOC106905247,ENSPMEG00000005606,sp|Q96A26|F162A_HUMAN,2376.732234,3.756792075,0.162029645,23.18583172,6.33E-119,6.71E-115,Protein FAM162A OS=Homo sapiens GN=FAM162A PE=1 SV=2
gene11984,LOC106923717,ENSPMEG00000004926,sp|Q6HA08|ASTL_HUMAN,8739.142242,-7.97252511,0.355997709,-22.39487756,4.42E-111,3.12E-107,Astacin-like metalloendopeptidase OS=Homo sapiens GN=ASTL PE=1 SV=4
gene6452,LOC106917689,ENSPMEG00000010476,sp|O95571|ETHE1_HUMAN,2519.502788,3.828034272,0.192179084,19.91909933,2.78E-88,1.47E-84,"Persulfide dioxygenase ETHE1, mitochondrial OS=Homo sapiens GN=ETHE1 PE=1 SV=2"
gene14969,pck1,ENSPMEG00000006183,sp|Q16822|PCKGM_HUMAN,1360.107621,6.333889999,0.34277413,18.47831981,3.09E-76,1.31E-72,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Homo sapiens GN=PCK2 PE=1 SV=3"
gene21011,LOC106933487,ENSPMEG00000009313,sp|P55017|S12A3_HUMAN,2478.168315,-5.772571244,0.329912519,-17.49727858,1.50E-68,5.31E-65,Solute carrier family 12 member 3 OS=Homo sapiens GN=SLC12A3 PE=1 SV=3
gene19936,dmrt2,ENSPMEG00000002162,sp|Q9Y5R5|DMRT2_HUMAN,487.356312,-3.424882249,0.208422182,-16.43242681,1.12E-60,3.40E-57,Doublesex- and mab-3-related transcription factor 2 OS=Homo sapiens GN=DMRT2 PE=2 SV=2
gene9754,LOC106921307,ENSPMEG00000018771,sp|Q96B67|ARRD3_HUMAN,286.1309239,4.204847154,0.258350926,16.27571931,1.47E-59,3.89E-56,Arrestin domain-containing protein 3 OS=Homo sapiens GN=ARRDC3 PE=1 SV=1
gene11460,LOC106923145,ENSPMEG00000022904,NA,60605.26031,3.93724618,0.246063338,16.00094598,1.26E-57,2.97E-54,NA
gene12853,LOC106924675,ENSPMEG00000018185,sp|Q8WVX9|FACR1_HUMAN,1455.972473,-3.00272774,0.18873595,-15.90967563,5.43E-57,1.15E-53,Fatty acyl-CoA reductase 1 OS=Homo sapiens GN=FAR1 PE=1 SV=1
gene648,LOC106917573,ENSPMEG00000022745,sp|Q6ZQY3|GADL1_HUMAN,431.8403157,3.515753165,0.227450315,15.45723587,6.74E-54,1.21E-50,Acidic amino acid decarboxylase GADL1 OS=Homo sapiens GN=GADL1 PE=1 SV=4
gene7885,LOC106919230,NA,NA,267.9713327,-5.855028218,0.37880942,-15.45639552,6.83E-54,1.21E-50,NA
gene6451,LOC106917690,ENSPMEG00000010483,sp|O95571|ETHE1_HUMAN,7687.085132,4.015663008,0.263008456,15.26818971,1.25E-52,2.03E-49,"Persulfide dioxygenase ETHE1, mitochondrial OS=Homo sapiens GN=ETHE1 PE=1 SV=2"
gene11852,LOC106923581,ENSPMEG00000010583,sp|P99999|CYC_HUMAN,3596.939581,9.054529861,0.609034335,14.86702694,5.40E-50,8.18E-47,Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2
gene4740,LOC106915811,NA,sp|Q8TF62|AT8B4_HUMAN,162.2562291,-5.630668412,0.382143658,-14.73442853,3.87E-49,5.48E-46,Probable phospholipid-transporting ATPase IM OS=Homo sapiens GN=ATP8B4 PE=1 SV=3
gene23522,LOC106905054,ENSPMEG00000000206,sp|Q9NRX3|NUA4L_HUMAN,1793.347797,-3.024389811,0.213136515,-14.18991865,1.06E-45,1.40E-42,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2 OS=Homo sapiens GN=NDUFA4L2 PE=3 SV=1
